J96_5,    J96
I70M10_4, I70
S04E10_4, E10, E11, E12, E13, E14
S05F10_4, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19
S05F70_4, F70, F71, F72, F73, F74, F75, F76, F77, F78, F79
S11K25_4, K25, K26, K27, K28
S13M00_5, M00, M01, M02, M03, M04, M05, M06, M07, M08, M09, M10, M11, M12, M13, M14, M15, M16, M17, M18, M19, M20, M21, M22, M24, M25, M26, M27, M28, M29, M30, M31, M32, M33, M34, M35, M36, M37, M38, M39, M55, M56, M57, M58, M59, M60, M61, M62, M63, M64, M65, M66, M67, M68, M69, M70, M71, M72, M73, M74, M75, M76, M77, M78, M79, M80, M81, M82, M83, M84, M85, M86, M87, M88, M89, M90, M91, M92, M93, M94, M95, M96, M97, M98
S13M23_5, M23
S13M40_5, M40, M41, M42, M43, M44, M45, M46, M47, M48, M49, M52, M53, M54
S13M99_5, M99
S14N00_4, N00, N01, N02, N03, N04, N05, N06, N07
S15O03_4, O03, O04, O05, O06
S18R83_4, R83, R84, R85, R86, R87, R88, R89
S19S02_5, S02 
S19S06_5, S06
S19S12_5, S12
S19S22_5, S22
S19S26_5, S26
S19S27_5, S27
S19S32_5, S32
S19S36_5, S36
S19S37_5, S37
S19S42_5, S42
S19S52_5, S52
S19S62_5, S62
S19S72_5, S72
S19S82_5, S82
S19S92_5, S92
S19T02_5, T02
S19T08_5, T08
S19T10_5, T10
S19T12_5, T12
S19T142_5, T14.2
S20W00_4,  W00, W01, W02, W03, W04, W05, W06, W07, W08, W09, W10, W11, W12, W13, W14, W15, W16, W17, W18, W19, W20, W21, W22, W23, W24, W25, W26, W27, W28, W29, W30, W31, W32, W33, W34, W35, W36, W37, W38, W39, W40, W41, W42, W43, W44, W45, W46, W47, W48, W49, W50, W51, W52, W53, W54, W55, W56, W57, W58, W59, W60, W61, W62, W63, W64, W65, W66, W67, W68, W69, W70, W71, W72, W73, W74, W75, W76, W77, W78, W79, W80, W81, W82, W83, W84, W85, W86, W87, W88, W89, W90, W91, W92, W93, W94, W95, W96, W97, W98, W99, X00, X01, X02, X03, X04, X05, X06, X07, X08, X09, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30, X31, X32, X33, X34, X35, X36, X37, X38, X39, X40, X41, X42, X43, X44, X45, X46, X47, X48, X49, X50, X51, X52, X53, X54, X55, X56, X57, X58, X59, X60, X61, X62, X63, X64, X65, X66, X67, X68, X69, X70, X71, X72, X73, X74, X75, X76, X77, X78, X79, X80, X81, X82, X83, X84, X85, X86, X87, X88, X89, X90, X91, X92, X93, X94, X95, X96, X97, X98, X99, Y00, Y01, Y02, Y03, Y04, Y05, Y06, Y07, Y08, Y09, Y10, Y11, Y12, Y13, Y14, Y15, Y16, Y17, Y18, Y19, Y20, Y21, Y22, Y23, Y24, Y25, Y26, Y27, Y28, Y29, Y30, Y31, Y32, Y33, Y34
S20V01_4, V01, V02, V03, V04, V05, V06
S20V10_4, V10, V11, V12, V13, V14, V15, V16, V17, V18
S20V20_4, V20, V21, V22, V23, V24, V25, V26, V27, V28
S20V30_4, V30, V31, V32, V33, V34, V35, V36, V37, V38
S20V40_4, V40, V41, V42, V43, V44, V45, V46, V47, V48
S20V50_4, V50, V51, V52, V53, V54, V55, V56, V57, V58
S20V60_4, V60, V61, V62, V63, V64, V65, V66, V67, V68
S20V70_4, V70, V71, V72, V73, V74, V75, V76, V77, V78
S20V90_4, V90, V91, V92, V93, V94
S20Y70_4, Y70, Y71, Y72, Y73, Y74, Y75, Y76, Y77, Y78, Y79, Y80, Y81, Y82
